6.567	2.807
2.703	1.676
6.793	2.642
2.465	1.968
2.911	3.337
3.120	3.365
3.730	3.762
6.737	2.308
4.589	3.710
3.521	1.296
5.422	3.748
4.978	1.349
2.367	2.029
3.256	1.437
2.252	2.825
6.742	2.490
4.360	1.180
6.450	1.809
6.425	2.879
3.523	3.618
4.603	1.161
3.796	1.376
2.623	3.150
5.651	1.421
4.949	3.644
6.291	3.117
6.752	2.892
2.452	2.902
5.228	1.140
2.576	3.306
2.851	1.615
5.725	3.429
5.910	3.474
2.262	2.133
5.226	3.512
6.608	2.010
6.311	1.788
4.369	3.844
4.067	1.278
6.715	2.108
4.079	3.728
2.502	1.823
2.275	2.399
5.939	1.467
5.462	1.463
6.132	3.345
2.381	2.664
3.096	1.597
3.302	3.574
5.996	1.499
